vel,ccf
-150.0,0.005371064749139787
-149.0,0.005958806535107424
-148.0,0.007152441684045628
-147.0,0.008187613363506822
-146.0,0.007546061811957591
-145.0,0.00743854377495198
-144.0,0.006984115023736921
-143.0,0.007348385985672935
-142.0,0.0072874587670237745
-141.0,0.0067224270103107935
-140.0,0.006419038072459908
-139.0,0.006179315393530758
-138.0,0.006272635727744904
-137.0,0.006716449238043649
-136.0,0.005991869736924816
-135.0,0.006312248348026367
-134.0,0.0055483388270162175
-133.0,0.005606791585186824
-132.0,0.005944380061485418
-131.0,0.005860033848401116
-130.0,0.005839221349176289
-129.0,0.0042925545033358995
-128.0,0.00471772552643746
-127.0,0.004572682757983714
-126.0,0.004019610508499942
-125.0,0.0035211148151281318
-124.0,0.0030853679123823883
-123.0,0.002713630265038931
-122.0,0.0020150268839336355
-121.0,0.0028215112765917977
-120.0,0.002840520809533208
-119.0,0.002714777004983974
-118.0,0.002858351975896509
-117.0,0.0027539129873064634
-116.0,0.002836880553620209
-115.0,0.002417053073299203
-114.0,0.0021506793720159454
-113.0,0.0013230505450836025
-112.0,0.0004683703359765236
-111.0,0.0001580785789245115
-110.0,-0.00019217016274339707
-109.0,-0.0003376564704687876
-108.0,-0.0008420866707434908
-107.0,-0.00017412259634555505
-106.0,-0.0008838603312749001
-105.0,-0.0006729326408149786
-104.0,-0.0002750776486014324
-103.0,0.0005593998659037111
-102.0,0.0010123374599163527
-101.0,0.001195348393511631
-100.0,0.0007168750060163203
-99.0,-0.00017387651035855219
-98.0,-0.0005968136012488214
-97.0,0.00014908779003488257
-96.0,0.00017758598977990654
-95.0,-0.00029959905161826457
-94.0,-6.53336918499444e-05
-93.0,-0.000550785241390345
-92.0,2.147921105148838e-05
-91.0,-0.0008018054552463034
-90.0,-0.0003587248711905879
-89.0,-0.0009555714860360973
-88.0,-0.001718409521402591
-87.0,-0.002077839232737455
-86.0,-0.002474589956120216
-85.0,-0.002610295308023226
-84.0,-0.002291518250509424
-83.0,-0.0022607597234102243
-82.0,-0.0014385483128760632
-81.0,-0.0010556805897789338
-80.0,-0.0009661067442177651
-79.0,-0.0001046077100787697
-78.0,0.0005143759972435977
-77.0,0.0008253781379046234
-76.0,0.0008375188351429225
-75.0,0.0013406030192901451
-74.0,0.0015223910527112985
-73.0,0.0010941849541316498
-72.0,0.0010810917144810357
-71.0,0.0008158400095691449
-70.0,0.0004223787841086601
